Username,Timestamp,location,device
Prathmesh200,2020-07-11 06:45:47+00:00,Earth,Mobile device
jlcmellis,2020-07-11 06:45:47+00:00,Los Angeles,iPhone
GrzybekMaciej,2020-07-11 06:45:47+00:00,"Gdynia, Polska",iPhone
hanahbanana21,2020-07-11 06:45:48+00:00,,iPhone
bsbllnbkns,2020-07-11 06:45:48+00:00,San Diego ,iPhone
CulturedKnight,2020-07-11 06:45:49+00:00,,Android
ALETTAHA,2020-07-11 06:45:49+00:00,CPT SA Defending the underdog☑,Android
FrancisCin_LA,2020-07-11 06:45:49+00:00,,iPhone
sagarhimself,2020-07-11 06:45:49+00:00,,Android
SureshPage,2020-07-11 06:45:49+00:00,"Chennai, India",Android
Abhishe91931207,2020-07-11 06:45:50+00:00,"Bihar, India",Android
SurenderMeenaIN,2020-07-11 06:45:50+00:00,Lahapura rajasthan,Android
helenselwood,2020-07-11 06:45:51+00:00,,Android
I7ECHYjGKlWJIAx,2020-07-11 09:22:31+00:00,"Hardoi, India",Android
UtsavPurohit4,2020-07-11 09:22:32+00:00,,Android
WAteaze,2020-07-11 09:22:32+00:00,Kenya,Android
saidcherif16,2020-07-11 09:22:32+00:00,,Mobile device
ScorpioOx61,2020-07-11 09:22:32+00:00,"Geelong, Victoria, Australia",Mobile device
smallpencilclub,2020-07-11 09:22:32+00:00,inthahood ,Mobile device
lijumdar,2020-07-11 09:22:32+00:00,"Geneva, Switzerland",iPhone
sowmya_sangam,2020-07-11 09:22:33+00:00,"Hyderabad, India",Android
MarkMitEuropean,2020-07-11 09:22:34+00:00,Hovering above,Android
kk_vishwa26,2020-07-11 09:22:34+00:00,,Android
Asifwazir,2020-07-11 09:24:17+00:00,,Mobile device
akshay_gangurde,2020-07-11 09:24:18+00:00,"Mumbai, India",iPhone
nunafianoo1,2020-07-11 09:24:18+00:00,"Accra, Dansoman - Ghana",Android
Tahuti2020,2020-07-11 09:24:18+00:00,,iPhone
tessajlrichards,2020-07-11 09:24:19+00:00,UK,Mobile device
equibotanica,2020-07-11 09:24:19+00:00,,Mobile device
GodwinKan,2020-07-11 09:24:20+00:00,,Mobile device
Seven_Samsara_7,2020-07-11 09:24:20+00:00,Birmingham / London UK,Android
kikisprings1,2020-07-11 09:24:21+00:00,,iPhone
ScorpioOx61,2020-07-11 09:24:22+00:00,"Geelong, Victoria, Australia",Mobile device
patientsafe3,2020-07-11 09:24:22+00:00,,iPad
M_pandit007,2020-07-11 09:24:22+00:00,indore,Android
TracymOshea,2020-07-11 09:24:22+00:00,Nottingham UK,Android
sbirdi67,2020-07-11 09:24:23+00:00,"Coventry, England",iPhone
KULDEEP03852511,2020-07-11 09:24:23+00:00,,Android
Rajpednekar18,2020-07-11 09:24:23+00:00,,Mobile device
mamajasper,2020-07-11 09:24:23+00:00,"Suffolk, UK",iPhone
justiceAtukunda,2020-07-11 09:24:24+00:00,"Kampala, Uganda",Android
meker108,2020-07-11 09:24:25+00:00,,iPhone
Quizzy1313,2020-07-11 09:24:25+00:00,,Android
